"Season","game.id","date","Team","playerID","name","pass.att","pass.comp","passyds","pass.tds","pass.ints","pass.twopta","pass.twoptm","rush.att","rushyds","rushtds","rushlng","rushlngtd","rush.twopta","rush.twoptm","recept","recyds","rec.tds","reclng","reclngtd","rec.twopta","rec.twoptm","kick.rets","kickret.avg","kickret.tds","kick.ret.lng","kickret.lngtd","punt.rets","puntret.avg","puntret.tds","puntret.lng","puntret.lngtd","fgm","fga","fgyds","totpts.fg","xpmade","xpmissed","xpa","xpb","xppts.tot","tackles","asst.tackles","sacks","defints","forced.fumbs","totalfumbs","recfumbs","totalrecfumbs","fumbyds","fumbslost","games"
2017,"2017091000",2017-09-10,"BUF","00-0033037","A.Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
2017,"2017091000",2017-09-10,"NYJ","00-0032464","K.Raymond",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,25,0,3,9,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,1
2017,"2017091000",2017-09-10,"NYJ","00-0028064","B.Powell",0,0,0,0,0,0,0,7,22,0,11,0,0,0,5,17,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,"2017091000",2017-09-10,"NYJ","00-0026184","M.Forte",0,0,0,0,0,0,0,6,16,0,8,0,0,0,3,20,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,"2017091000",2017-09-10,"NYJ","00-0021206","J.McCown",39,26,187,0,2,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,"2017091000",2017-09-10,"NYJ","00-0029159","J.Kearse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,59,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,"2017091000",2017-09-10,"NYJ","00-0031690","E.Tomlinson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,"2017091000",2017-09-10,"NYJ","00-0032688","R.Anderson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,"2017091000",2017-09-10,"NYJ","00-0032004","W.Tye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,"2017091000",2017-09-10,"NYJ","00-0033916","A.Stewart",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,"2017091000",2017-09-10,"NYJ","00-0030896","C.Catanzaro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,52,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,"2017091000",2017-09-10,"NYJ","00-0031336","K.Ealy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1
2017,"2017091000",2017-09-10,"NYJ","00-0029607","D.Davis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0.5,0,0,0,0,0,0,0,1
2017,"2017091000",2017-09-10,"NYJ","00-0033147","D.Lee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,0,0,0,0,0,0,0,1
2017,"2017091000",2017-09-10,"NYJ","00-0033892","M.Maye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1
2017,"2017091000",2017-09-10,"NYJ","00-0033872","Ja.Adams",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1
2017,"2017091000",2017-09-10,"NYJ","00-0030757","M.Pennel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1
